analyste financier;Classe preparatoire économique et commerciale + Ecole de commerce master finance,Classe preparatoire scientifique + Ecole d'ingénieur master finance,Licence d'économie ou de gestion + Ecole de commerce master finance,Licence de mathématiques à la faculté + Ecole de commerce master finance à la faculté,Licence d'économie ou de gestion à la faculté + Master finance à la faculté,Licence et master finance dans une école de commerce post-bac ;
consultant;Classe preparatoire économique et commerciale + Ecole de commerce master stratégie d'entreprise,Classe preparatoire scientifique + Ecole d'ingénieur stratégie d'entreprise,Licence d'économie ou de gestion + Ecole de commerce stratégie d'entreprise,Licence de mathématiques + Ecole de commerce stratégie d'entreprise,Licence d'économie ou de gestion + Master management et stratégie d'entreprise,Licence et master stratégie d'entreprise dans une Ecole de commerce post-bac;
designer automobile;Diplôme supérieur d'arts appliqués (DSAA) option création industrielle,Diplôme de l'École nationale des arts décoratifs (ENSAD),Diplôme de création industrielle de l'Etablissement public à caractère industriel et commercial (ENSCI),Diplôme d'ingénieur design industriel de l’UTC de Compiègne,Designer mobilités de Strate College designers,Diplôme de designer industriel filières industrielle et transports Créapole ;
ingénieur en mécanique;Classe preparatoire scientifique + Ecole d'ingénieur master mécanique,Licence de mathématiques à la faculté +  Ecole d'ingénieur master mécanique,Licence de physique à la faculté +  Ecole d'ingénieur master mécanique,Licence et master mécanique dans une école d'ingénieur post-bac ;
technicien en mécanique;BTS CPI - conception de produits industriels,BTS CIM - conception et industrialisation en microtechniques,BTS CIRA - contrôle industriel et régulation automatique,DUT GIM - génie industriel et maintenance,DUT GMP - génie mécanique et productique,DUT SGM - sciences et génie des matériaux;
pédiatre;Faculté de médecine généraliste + DES pédriatrie;
professeur / professeure de collège et de lycée;Licence biologie + Master biologie + Capes,Licence biologie + Master biologie + Agrégation,Licence biologie + Master biologie + CRPE,Licence biologie + Master biologie + Capet;
