Job;Studies;urls
analyste financier;Classe preparatoire économique et commerciale+Master finance (Ecole de commerce),Classe preparatoire scientifique+Master finance (Ecole d'ingénieur),Licence d'économie ou de gestion (faculté)+Master finance (Ecole de commerce),Licence de mathématiques (faculté)+Master finance (Ecole de commerce),Licence d'économie ou de gestion (faculté)+Master finance (faculté),Licence et master finance (Ecole de commerce post-bac);http://www.onisep.fr/var/onisep/storage/images/media/images/choisir-mes-etudes/apres-le-bac/les-filieres-d-etudes/classes-prepas/classe-prepa2/11222631-2-fre-FR/Classe-prepa2_article_620_312.jpg§§ https://www.digischool.fr/images/article/que-faire-apres-une-prepa-scientifique--lg-26347.jpg§§https://diplomeo-static.com/catalog-files/licence/economie/catalog-licence-economie.jpg§§ https://www.vousnousils.fr/wp-content/uploads/2014/12/Fotolia_60467600_Subscription_XL.jpg§§https://www.medyaturk.info/wp-content/uploads/2017/12/economie.jpg§§https://www.edhec.edu/sites/www.edhec-portail.pprod.net/files/images/campus-nice.jpg
consultant digital;Classe preparatoire économique et commerciale+Master stratégie d'entreprise (Ecole de commerce),Classe preparatoire scientifique+Master stratégie d'entreprise (Ecole d'ingénieur),Licence d'économie ou de gestion (faculté)+Master stratégie d'entreprise (Ecole de commerce),Licence de mathématiques (faculté)+Master stratégie d'entreprise (Ecole de commerce),Licence d'économie ou de gestion (faculté)+Master stratégie d'entreprise (faculté),Licence et master stratégie d'entreprise (Ecole de commerce post-bac);http://www.onisep.fr/var/onisep/storage/images/media/images/choisir-mes-etudes/apres-le-bac/les-filieres-d-etudes/classes-prepas/classe-prepa2/11222631-2-fre-FR/Classe-prepa2_article_620_312.jpg§§ https://www.digischool.fr/images/article/que-faire-apres-une-prepa-scientifique--lg-26347.jpg§§https://diplomeo-static.com/catalog-files/licence/economie/catalog-licence-economie.jpg§§ https://www.vousnousils.fr/wp-content/uploads/2014/12/Fotolia_60467600_Subscription_XL.jpg§§https://www.medyaturk.info/wp-content/uploads/2017/12/economie.jpg§§https://www.edhec.edu/sites/www.edhec-portail.pprod.net/files/images/campus-nice.jpg
data analyst;Classe preparatoire économique et commerciale+Master Data Analytics (Ecole de commerce),Classe preparatoire scientifique+Master Statistiques/Informatique (Ecole d'ingénieur),Licence d'économie ou de gestion (faculté)+Master Data Analytics (Ecole de commerce),Licence de mathématiques (faculté)+Master Statistiques/Informatique (Ecole d'ingénieur),Licence d'économie ou de gestion (faculté)+Master Statistiques/Informatique (faculté);http://www.onisep.fr/var/onisep/storage/images/media/images/choisir-mes-etudes/apres-le-bac/les-filieres-d-etudes/classes-prepas/classe-prepa2/11222631-2-fre-FR/Classe-prepa2_article_620_312.jpg§§ https://www.digischool.fr/images/article/que-faire-apres-une-prepa-scientifique--lg-26347.jpg§§https://diplomeo-static.com/catalog-files/licence/economie/catalog-licence-economie.jpg§§ https://www.vousnousils.fr/wp-content/uploads/2014/12/Fotolia_60467600_Subscription_XL.jpg§§https://www.medyaturk.info/wp-content/uploads/2017/12/economie.jpg
designer automobile;Diplôme supérieur d'arts appliqués (DSAA) option création industrielle,Diplôme de l'école nationale des arts décoratifs (ENSAD),Diplôme de création industrielle de l'Etablissement public à caractere industriel et commercial (ENSCI),Diplôme d'ingénieur design industriel de l'UTC de Compiégne,Diplôme de designer mobilités de Strate College designers,Diplôme de designer industriel filieres industrielle et transports Créapole;https://shadownetmc.com/wp-content/uploads/2017/11/7.jpg§§http://tassepatufutsal.com/wp-content/uploads/2018/05/graphic-designer-school-see-list-of-graphic-design-schools-training-centers-nationwide-printable.jpg§§https://www.studyrama.com/IMG/arton861.png§§https://leblogdecandice.fr/wp-content/uploads/2017/10/designer.jpg§§https://shadownetmc.com/wp-content/uploads/2017/11/7.jpg§§http://tassepatufutsal.com/wp-content/uploads/2018/05/graphic-designer-school-see-list-of-graphic-design-schools-training-centers-nationwide-printable.jpg
ingénieur en mécanique;Classe preparatoire scientifique+Master mécanique (Ecole d'ingénieur),Licence de mathématiques (faculté)+Master mécanique (Ecole d'ingénieur),Licence de physique (faculté)+Master mécanique (Ecole d'ingénieur),Licence et master mécanique (Ecole d'ingénieur post-bac);http://www.automation-sense.com/medias/images/genie-mecanique-1.jpg§§https://grandes-ecoles.studyrama.com/sites/default/files/styles/image_rubrique_contenu/public/10_-_mecanique_materiaux.jpg?itok=ssJhI7se§§https://www.fun-mooc.fr/media/courses-thumbnails/course-v1ensam022004session03.730x412_q85_crop-scale.jpg§§http://www.cybest-industries.com/images/accueil4.jpg
technicien en mécanique;BTS CPI conception de produits industriels,BTS CIM conception et industrialisation en microtechniques,BTS CIRA contrôle industriel et régulation automatique,DUT GIM génie industriel et maintenance,DUT GMP génie mécanique et productique,DUT SGM sciences et génie des matériaux;https://www.mil.be/sites/mil.be/files/jobdetail/130213_Decloedt_Christian.jpg§§https://thumbs.dreamstime.com/x/roulements-%C3%A0-billes-sur-le-dessin-technique-33815735.jpg§§http://www.cegepthetford.ca/wp-content/uploads/2015/07/cegep-thetford-technique-genie-mecanique.jpg§§https://www.sncf.com/sites/default/files/styles/crop_header_edito/public/snc_med_images/VSY8yC.jpg?h=20a0c60f&itok=KM2U8aom§§http://www.automation-sense.com/medias/images/genie-mecanique-1.jpg§§https://grandes-ecoles.studyrama.com/sites/default/files/styles/image_rubrique_contenu/public/10_-_mecanique_materiaux.jpg?itok=ssJhI7se
pédiatre;Faculté de médecine généraliste+DES pédriatrie;https://res.cloudinary.com/doctolib/image/upload/w_1024,h_700,c_limit/l4toimx8qg3w84zxgsbn.jpg
professeur / professeure de collège et de lycée;Licence biologie (faculté)+Master biologie (faculté)+Capes,Licence biologie (faculté)+Master biologie (faculté)+Agrégation,Licence biologie (faculté)+Master biologie (faculté)+Capet;http://hupifo.aphp.fr/wp-content/blogs.dir/88/files/2016/03/slide-02.jpg§§https://2.bp.blogspot.com/-x16PEL2YDiI/WUaHPHCUULI/AAAAAAAAKMk/k_vr6N6Lh7A_Fe2lK_zn2mAh_gM9M8LtwCLcBGAs/s1600/test-4.jpg§§https://previews.123rf.com/images/gow27/gow271601/gow27160100106/50745236-la-science-de-la-biologie-th%C3%A9orie-doodle-%C3%A9criture-et-le-mod%C3%A8le-d-outil-ic%C3%B4ne-en-blanc-fond-de-papier-isol%C3%A9-u.jpg
