analyste financier;Classe preparatoire économique et commerciale+Master finance (Ecole de commerce),Classe preparatoire scientifique+Master finance (Ecole d'ingénieur),Licence d'économie ou de gestion (faculté)+Master finance (Ecole de commerce),Licence de mathématiques (faculté)+Master finance (Ecole de commerce),Licence d'économie ou de gestion (faculté)+Master finance (faculté),Licence et master finance (Ecole de commerce post-bac);
consultant;Classe preparatoire économique et commerciale+Master stratégie d'entreprise (Ecole de commerce),Classe preparatoire scientifique+Master stratégie d'entreprise (Ecole d'ingénieur),Licence d'économie ou de gestion (faculté)+Master stratégie d'entreprise (Ecole de commerce),Licence de mathématiques (faculté)+Master stratégie d'entreprise (Ecole de commerce),Licence d'économie ou de gestion (faculté)+Master stratégie d'entreprise (faculté),Licence et master stratégie d'entreprise (Ecole de commerce post-bac);
designer automobile;Diplôme supérieur d'arts appliqués (DSAA) option création industrielle,Diplôme de l'école nationale des arts décoratifs (ENSAD),Diplôme de création industrielle de l'Etablissement public à caractere industriel et commercial (ENSCI),Diplôme d'ingénieur design industriel de l'UTC de Compiégne,Diplôme de designer mobilités de Strate College designers,Diplôme de designer industriel filieres industrielle et transports Créapole;
ingénieur en mécanique;Classe preparatoire scientifique+Master mécanique (Ecole d'ingénieur),Licence de mathématiques (faculté)+Master mécanique (Ecole d'ingénieur),Licence de physique (faculté)+Master mécanique (Ecole d'ingénieur),Licence et master mécanique (Ecole d'ingénieur post-bac);
technicien en mécanique;BTS CPI conception de produits industriels,BTS CIM conception et industrialisation en microtechniques,BTS CIRA contrôle industriel et régulation automatique,DUT GIM génie industriel et maintenance,DUT GMP génie mécanique et productique,DUT SGM sciences et génie des matériaux;
pédiatre;Faculté de médecine généraliste+DES pédriatrie;
professeur / professeure de collège et de lycée;Licence biologie (faculté)+Master biologie (faculté)+Capes,Licence biologie (faculté)+Master biologie (faculté)+Agrégation,Licence biologie (faculté)+Master biologie (faculté)+Capet;
